SampleName,D,alpha,beta,gamma,k1,Ol,Oh,D_int_1,D_int_2,alpha_int_1,alpha_int_2,beta_int_1,beta_int_2,gamma_int_1,gamma_int_2,k1_int_1,k1_int_2,Ol_int_1,Ol_int_2,Oh_int_1,Oh_int_2,loss,loss_worst,dx,NumNonZeroPixels,HeteroScore
Breast_0520_2_1_All_Patch_71,134864.937284847,18.4091735723176,1.72596330388298,0.414564121301791,0.687635435466855,0.0015763696384134,0.865125185085029,4118.28652058346,80238415.9368125,1.02792638817144,82.2203018362571,1.72596330388298,83.0785719343922,0.369746715833823,0.444464764193239,0.540066485981902,5.64096860508779,1.1720956606759e-05,0.0019354690292087,0.805233296036835,0.995491176628324,0.0002109778275349,14.046493064878,8,5.9693032071128e-05,0.000208725523768455
Breast_0520_2_1_All_Patch_72,17157.6975665288,8.82820014277953,32.6823783118619,0.280079936521908,8.12607109650195,0.0004464267595011,0.854753425065072,436.130903420739,80238415.9368125,1.1254543923002,100,1.11235655096077,83.078402731187,0.223261567450105,0.339802534453009,0.897119262249675,9.99999712681124,1e-05,0.000894111644538,0.805233296036835,0.995491176628324,0.0003305635198224,14.066437529307,8,0.0103219324440658,0.0779149487934251
Breast_0520_2_1_All_Patch_73,6609770.03044234,73.790019537467,3.06790605893737,0.384902079454284,7.61782153846722,1.1720956606759e-05,0.833682219256679,4118.28737516651,80238415.9368125,1,87.1636208617939,1.18659490954927,83.078527195567,0.384902079454284,0.499258054766415,7.61782153846722,10,1.1720956606759e-05,0.0028120635957719,0.805233296036835,0.995491176628324,0.0099203373088474,13.7107097156388,8,0.0118557375361964,0.0796919703345292
Breast_0520_2_1_All_Patch_74,68841025.0800616,82.0974537401137,10.2725658372984,0.449577298206417,1e-05,1.00000000001562e-05,0.888642694302347,640.349372122976,80238415.9368125,1.05919972247205,87.3474118119545,1.81845737249831,83.0782533303018,0.408961014608935,0.451839703589894,9.99999999968569e-06,8.37767853842244,1e-05,0.0004499482965724,0.833682219256679,0.995491176628324,0.0110199431622333,13.66985590957,8,0.00566967708175427,0.0516457019970563
Breast_0520_2_1_All_Patch_75,1235467.78300768,64.8013060475087,22.8773273812084,0.449509939482604,1e-05,1.66843351562079e-05,0.870524557732345,640.535755234046,80238415.9368125,1.00760781348701,87.6717658415905,3.06167394414972,82.9054360236709,0.442218212233056,0.495373239940243,1e-05,9.54791843000015,1e-05,0.0001208039662273,0.805233296036838,0.984249615335604,0.0126035845532036,13.0239043674336,8,0.00524133385785422,0.0450335395077379
Breast_0520_2_1_All_Patch_76,24862.6460180861,1.59327350282792,4.94854553390136,0.50319483090173,1.09819001716437,5.64501277040683e-05,0.995491176628324,440.625159388368,80238415.9368125,1,82.0984998951352,1,83.0782910547317,0.47186172951489,0.551697428519653,1e-05,9.99999035945866,1.1720956606759e-05,0.001576369608815,0.805233296036835,0.995491176628324,0.0136588572236568,13.2545459927386,8,0.00278915221366724,0.0272054557529779
Breast_0520_2_1_All_Patch_77,10888.3098789219,2.70119544428405,13.6682577880415,0.375816472631386,1.92137941019207,3.04948890963588e-05,0.895996967848504,380.526514965867,80238415.9368125,1.00407656769286,100,1.77269699694942,83.0783971290085,0.264832759443876,0.39107009757379,0.867464647561035,10,1e-05,0.0133457831425488,0.805233296036835,0.995491176628324,0.001465951122336,13.9922749528091,8,0.0112634040351528,0.0917323329764807
Breast_0520_2_1_All_Patch_78,52818.523019657,1,82.9060523265843,0.408898696723354,10,3.89816693488925e-05,0.835534903637656,721.417261496022,80238415.9368125,1,73.7752772217931,1.23160696846408,82.9060523265843,0.394149733053557,0.411731083790682,1.40831207170338,10,1e-05,7.01414135627673e-05,0.821237804091189,0.995491176628324,0.005276879250074,13.8618098384477,8,0.0108289383009057,0.082021055883713
Breast_0520_2_1_All_Patch_83,86721.290866324,100,5.72659035882227,0.752656580727004,10,0.0311295493364265,0.879419301312206,212.360377664232,93120145.3406865,1.43769290415268,100,1.14221609994347,94.4181783713461,0.381484804869482,0.917955335296935,1.72830135324571,10,1.55819848177896e-05,0.0794410601524242,0.803915524710664,0.997974430726301,0.0001531062521209,14.0805008629271,8,0.00602641018463321,0.0509615841431172
Breast_0520_2_1_All_Patch_84,80238415.9368125,1.22910655457989,12.5713543257688,0.429196284835538,10,7.01414135627673e-05,0.937592052787807,1097.68377731714,80238415.9368125,1,82.0981134909585,1.81968433850875,83.0784707984577,0.335822558675031,0.480847180747532,1e-05,10,1e-05,0.0010443356662396,0.805233296036835,0.995491176628324,0.001566597528078,13.9929869302808,8,0.011703837279485,0.0824966062181917
Breast_0520_2_1_All_Patch_85,1235467.78300768,64.8014786530078,22.8778087647127,0.447750993380482,10,1.02638014255422e-05,0.870524557732345,10888.3100807087,80238415.9368125,1.17164161084455,82.0983861444898,1.77085734772982,82.9053301258437,0.33293730577057,0.481854440141551,1e-05,10,1e-05,0.0001208039662273,0.833682219256679,0.965855068237273,0.0036226319841736,13.9509844289986,8,0.00472502798529729,0.0402503448966101
Breast_0520_2_1_All_Patch_86,38896.1854525564,35.2538009887607,46.0212361516719,0.370439753037583,10,0.0002151953557061,0.848205200519767,1097.66196892367,80238415.9368125,1.23729250100604,100,1.72140667881757,83.0783159186788,0.308874148044827,0.388793019664048,3.62922267802234,10,1.1720956606759e-05,0.0005557865475427,0.833682219256679,0.995491176628324,0.0018226356658302,13.9974332197819,8,0.01494737276106,0.0973386079115002
